"","X","Time","Model","Number.of.Treatments","Additional.Feature","Sample.Size"
"1",1,0.68217701514562,"Causal Forest",1,"None",10000
"2",2,3.50884345372518,"Causal Forest",1,"None",50000
"3",3,7.9357572833697,"Causal Forest",1,"None",1e+05
"4",4,0.782265249888102,"Causal Forest",1,"Continuous",10000
"5",5,3.89270049730937,"Causal Forest",1,"Continuous",50000
"6",6,8.94090158144633,"Causal Forest",1,"Continuous",1e+05
"7",7,0.737724566459656,"Causal Forest",1,"Binary",10000
"8",8,3.7651926000913,"Causal Forest",1,"Binary",50000
"9",9,7.90930730104446,"Causal Forest",1,"Binary",1e+05
"10",10,1.05662801663081,"Causal Forest",2,"None",10000
"11",11,4.44695871671041,"Causal Forest",2,"None",50000
"12",12,9.77017866770426,"Causal Forest",2,"None",1e+05
"13",13,1.10036939779917,"Causal Forest",2,"Continuous",10000
"14",14,4.63250218232473,"Causal Forest",2,"Continuous",50000
"15",15,10.7659356673559,"Causal Forest",2,"Continuous",1e+05
"16",16,1.11166371504466,"Causal Forest",2,"Binary",10000
"17",17,4.57517978350321,"Causal Forest",2,"Binary",50000
"18",18,9.87435003519058,"Causal Forest",2,"Binary",1e+05
"19",19,4.33470773299535,"CTS",1,"None",10000
"20",20,21.4116560816765,"CTS",1,"None",50000
"21",21,42.0525817672412,"CTS",1,"None",1e+05
"22",22,3.57468718290329,"CTS",1,"Continuous",10000
"23",23,15.360073363781,"CTS",1,"Continuous",50000
"24",24,29.7415980021159,"CTS",1,"Continuous",1e+05
"25",25,5.03397028446197,"CTS",1,"Binary",10000
"26",26,22.8533410509427,"CTS",1,"Binary",50000
"27",27,42.7821941335996,"CTS",1,"Binary",1e+05
"28",28,7.39067938327789,"CTS",2,"None",10000
"29",29,36.3250217517217,"CTS",2,"None",50000
"30",30,68.4310989340146,"CTS",2,"None",1e+05
"31",31,5.71830308437347,"CTS",2,"Continuous",10000
"32",32,28.612873951594,"CTS",2,"Continuous",50000
"33",33,48.5811341325442,"CTS",2,"Continuous",1e+05
"34",34,7.39380671580632,"CTS",2,"Binary",10000
"35",35,37.5780505696932,"CTS",2,"Binary",50000
"36",36,71.2422869841258,"CTS",2,"Binary",1e+05
"37",37,1.68645593325297,"DOM",1,"None",10000
"38",38,6.8376993338267,"DOM",1,"None",50000
"39",39,11.6236501018206,"DOM",1,"None",1e+05
"40",40,2.06772260268529,"DOM",1,"Continuous",10000
"41",41,7.39229373137156,"DOM",1,"Continuous",50000
"42",42,12.8948019981384,"DOM",1,"Continuous",1e+05
"43",43,1.95452502965927,"DOM",1,"Binary",10000
"44",44,7.08271885315577,"DOM",1,"Binary",50000
"45",45,11.702588780721,"DOM",1,"Binary",1e+05
"46",46,2.52112281719844,"DOM",2,"None",10000
"47",47,9.36395748456319,"DOM",2,"None",50000
"48",48,15.4814951022466,"DOM",2,"None",1e+05
"49",49,2.47516499757767,"DOM",2,"Continuous",10000
"50",50,10.5449460824331,"DOM",2,"Continuous",50000
"51",51,18.2168565829595,"DOM",2,"Continuous",1e+05
"52",52,2.42004860242208,"DOM",2,"Binary",10000
"53",53,9.3736457824707,"DOM",2,"Binary",50000
"54",54,15.3414120992025,"DOM",2,"Binary",1e+05
"55",55,0.195093568166097,"SMA",1,"None",10000
"56",56,3.76671628157298,"SMA",1,"None",50000
"57",57,8.64242791334788,"SMA",1,"None",1e+05
"58",58,0.191252549489339,"SMA",1,"Continuous",10000
"59",59,2.89077336788178,"SMA",1,"Continuous",50000
"60",60,11.6278268178304,"SMA",1,"Continuous",1e+05
"61",61,0.15379798412323,"SMA",1,"Binary",10000
"62",62,2.37351884841919,"SMA",1,"Binary",50000
"63",63,11.5321042299271,"SMA",1,"Binary",1e+05
"64",64,0.270352550347646,"SMA",2,"None",10000
"65",65,3.69197806914647,"SMA",2,"None",50000
"66",66,13.2637804349264,"SMA",2,"None",1e+05
"67",67,0.215935166676839,"SMA",2,"Continuous",10000
"68",68,5.00273015101751,"SMA",2,"Continuous",50000
"69",69,20.5314234495163,"SMA",2,"Continuous",1e+05
"70",70,0.3997811516126,"SMA",2,"Binary",10000
"71",71,4.19544435342153,"SMA",2,"Binary",50000
"72",72,19.3475655515989,"SMA",2,"Binary",1e+05
